Name,Acronym,Billing Street,Billing City,Billing Zip Code,Shipping Street,Shipping City,Shipping Zip Code,BEDS,ORISS Institution ID,NIPSIS,DOE Name
Ezra Academy ,,11945 Union Tpke 3rd Floor,Queens,11375,119-45 Union Tpke,Queens,,342800227503,800000042644,28815,EZRA ACADEMY
Gan Academy ,,440 Crown St,Brooklyn,11213,440 Crown St,Brooklyn,,331700226429,800000090639,17030,GAN ACADEMY
Gan Academy Linden ,,623 Linden Blvd,Brooklyn,11203,623 Linden Blvd,Brooklyn,,331800226651,800000092774,18042,GAN ACADEMY
Gan Aliya ,,131 W 86th St,New York,10024,131 W 86th St,New York,,310300226461,800000091335,3037,Gan Aliya
Gan Yisroel ,,3909 15th Ave,Brooklyn,11218,3909 15th Ave,Brooklyn,,332000229822,800000044212,20887,GAN YISROEL ( GIRLS)
Gan Yisroel Girls ,,13 Church Ave,Brooklyn,11218,13 Church Ave,Brooklyn,,331500226466,800000062151,15854,GAN YISROEL
Ganeinu Academy ,,64-41 Utopia Pkwy,Queens,11367,64-41 Utopia Pkwy,Queens,,342600226509,800000091877,26779,JEWISH INSTITUTE OF QUEENS BOYS MIDDLE AND HIGH SC
Gerer Yeshiva Mesivta Bais Yisroel ,,5407 16th Ave,Brooklyn,11204,5407 16th Ave,Brooklyn,,332000228239,800000044281,,Gerer Yeshiva/Mesivta Bais Yisroel
Hadar Bet Yaakov ,,193-10 Peck Ave,Queens,11365,193-10 Peck Ave,Queens,,342600226595,800000092471,26022,HADAR BET YAAKOV
Hadran Academy ,,860 E27th St,Brooklyn,11210,4419 13th Ave,Brooklyn,11210,332000226500,800000091730,20022,HADRAN ACADEMY
HAFTR High School ,HAFTR,635 Central Ave,Cedarhurst,11516,635 Central Ave,Cedarhurst,11516,280215227930,800000049470,75710,Hebrew Academy of Five Town - HAFTA HIGH SCHOOL
HAFTR Lower School ,HAFTR,33 Washington Ave,Lawrence,11559,33 Washington Ave,Lawrence,11559,280215227128,800000049488,75775,HEBREW ACADEMY-LOWER SCHOOL      (HAFTR)
HAFTR Middle School ,HAFTR,44 Frost Ln,Lawrence,11559,44 Frost Lane,Lawrence,11559,280215229704,800000049478,,HAFTR MIDDLE SCHOOL
Hamaspik School ,,926 Bedford Ave,Brooklyn,11205,926 Bedford Ave,Brooklyn,11205,331400226594,800000092464,,
Hannah Senesh Community Day School ,,342 Smith St,Brooklyn,11231,342 Smith St,Brooklyn,,331500209521,800000045063,15684,HANNAH SENESH COMM SCHOOL
Hebrew Academy for Spec Chldrn ,HASC,1318 60th St,Brooklyn,11219,321 Woodmere Blvd,Woodmere,,280215226406,800000049454,18709,
Hebrew Academy for Special Children: School Age Program ,HASC,1318 60th St,Brooklyn,11219,6220 14th Ave,Brooklyn,,332000227132,800000044293,20915,Hebrew Academy of Special Children
Hebrew Academy of Long Beach - Lower/Middle Schools ,HALB,523 Church Ave,Woodmere,11598,523 Church Avenue,Woodmere,11581,280215226621,800000049203,,HEBREW ACADEMY OF LONG BEACH
Hebrew Academy of Nassau County ,HANC,240 Hempstead Ave,West Hempstead,11552,240 Hempstead Ave,West Hempstead,,280227227943,800000049288,,HEBREW ACADEMY OF NASSAU
Hebrew Academy of Nassau County Middle School ,HANC,215 Oak St,Uniondale,11553,215 Oak St,Uniondale,,280202227573,800000049742,75711,HEBREW ACADEMY OF NASSAU
Hebrew Academy of the Capital District ,HACD,100 Academy Rd Suite 100,Albany,12208,100 Academy Rd Suite 100,Albany,,10100216559,800000055380,,HEBREW ACADEMY-CAPITAL DISTRICT
Hebrew Day School of Sullivan & Ulster Counties ,HDS,P.O. Box 239,Kiamesha Lake,12751,4718 State Rt 42,Kiamesha Lake,,591401226474,800000036586,,HEBREW DAY SCHOOL-SULLIVAN & ULSTER
Hebrew Institute for the Deaf and Exceptional Children ,HIDEC,1401 Ave I,Brooklyn,11230,1401 Ave I,Brooklyn,,332000227506,800000044314,,Hebrew Inst - Deaf
Hillel Academy of Broome County ,,4737 Deerfield Pl,Vestal,13850,4737 Deerfield Pl,Vestal,,31601227054,800000054870,,HILLEL ACADEMY
Hillel Community Day School ,,191 Fairfield Dr,Rochester,14620,191 Fairfield Dr,Rochester,,260101226476,800000034052,,HILLEL COMMUNITY DAY SCHOOL
Hychel Hatorah ,,70 Franklin Ave,Brooklyn,11205,70 Franklin Ave,Brooklyn,,331400229829,800000045224,14001,Hychel Hatorah Of Williamsburg
Ichud Mosdos Monticello ,,34 North St,Monticello,12701,34 North St,Monticello,12701,591401226672,800000093027,,
Ichud Mosdos Monticello ,,P.O. Box 697,Monticello,12701,10 Hamilton Ave,Monticello,12701,591401226684,800000093039,,
Ichud Mosdos Monticello Inc ,,34 North St,Monticello,12701,18 Landfield Ave,Monticello,12701,591401226800,800000093787,,
IVDU Elementary School ,,1301 E 18th St,Brooklyn,11230,1301 E 18th St,Brooklyn,,332100226446,800000090772,21894,IVDU ELEMENTARY SCHOOL
IVDU Long Island ,,410 Hungry Harbor Rd,Valley Stream,11581,410 Hungry Harbor Rd,Valley Stream,,280214226330,800000090006,75021,IVDU LONG ISLAND
IVDU Schools ,,11 Broadway 13th Fl,Brooklyn,11230,1244 E 7th St,Brooklyn,,332100229813,800000043794,21871,IVDU UPPER SCHOOL
Jewish Center For Special Education ,,1760 53rd St,Brooklyn,11204,1760 53rd St,Brooklyn,,332000226061,800000045239,20792,JEWISH CENTER FOR SPECIAL EDUCATION
Jewish Foundation School ,JFS,400 Caswell Ave,Staten Island,10314,400 Caswell Avenue,Staten Island,10314,353100227017,800000041879,31734,JEWISH FOUNDATION SCHOOL
Jewish Institute of Queens Boys Middle and High School ,JIQ,64-41 Utopia Parkway,New York,11373,60-05 Woodhaven Blvd,Queens,,342800229926,800000056198,28770,JEWISH INSTITUTE OF QUEENS
Kesser Bais Yakov ,,681 Chestnut Ridge Rd Bldg 4 Wing a,Spring Valley,10977,681 Chestnut Ridge Rd Bldg 4 Wing a,Spring Valley,10977,500402226456,800000091338,,
Kesser Malka ,,1275 36th St,Brooklyn,11218,1275 36 St,Brooklyn,,331500206787,800000093724,,
Khal Yereim Yesh Bais Hillel ,,P.O. Box 119,Monsey,10952,100 College Ave-Fls 1-2,Monsey,,500402226151,800000060134,,CONG KHAL YEREIM YESH BAIS HILLEL
Kinneret Day School ,,2600 Netherland Ave,Bronx,10463,2600 Netherland Ave,Bronx,10463,321000206859,800000046121,10807,KINNERET DAY SCHOOL
Kochavim ,,5314 16th Ave-ste 292,Brooklyn,11204,3909 15th Ave,Brooklyn,11218,332000226546,800000092299,,
Koifer Nefesh ,,P.O. Box 1288,Monsey,10952,70 Highview Rd,Monsey,10952,500402225721,800000062973,,
Kolel Chasidei Rachministrivka ,,P.O. Box 284,Monsey,10901,97 Highview Rd,Suffern,,500401226004,800000060506,,CONG KOLEL CHASIDEI RACHMISTRIVKA
Kolel Chasidei Rachmist ,,97 Highview Rd,Suffern,10901,86 Highview Rd,Suffern,10901,500401226706,800000093191,,
Kolel Chasidei Rachmistrivika ,,93 Highview Rd,Suffern,10901,93 Highview Rd,Suffern,10901,500401226345,800000090326,,
Kulanu Academy ,,620 Central Ave,Cedarhurst,11516,620 Central Ave,Cedarhurst,,280215225246,800000058996,,KULANU ACADEMY
Legadel ,,12 Maple Leaf Rd,Monsey,10952,681 Chestnut Ridge Rd-bldg 1 Wing B,Spring Valley,10977,500402226608,800000092673,,
Lev Bais Yaakov ,,3574 Nostrand Ave,Brooklyn,11229,3574 Nostrand Ave,Brooklyn,,332200229795,800000043793,22616,LEV BAIS YAAKOV-ELEMENTARY
Long Island Hebrew Academy ,LIHA,122 Cuttermill Rd,Great Neck,11021,122 Cuttermill Road,Great Neck,11021,280407229720,800000049045,75071,Long Island Hebrew Academy
Lubavitcher High School ,,841-853 Ocean Pkwy,Brooklyn,11230,841-853 Ocean Pky,Brooklyn,,332100207932,800000044065,,Lubavitcher HS
Lubavitcher School Chabad ,ULY,841 Ocean Pkwy,Brooklyn,11230,841 Ocean Pky,Brooklyn,,332100206938,800000044064,21854,LUBAVITCHER SCHOOL CHABAD
Luria Academy of Brooklyn ,,235 St Marks Ave,Brooklyn,11238,235 St Marks Ave,Brooklyn,,331300225748,800000063791,13875,LURIA ACADEMY OF BROOKLYN
Machna Shalva - 2 ,,1362 49th St,Brooklyn,11219,1362 49th St,Brooklyn,,331800226277,800000089224,18009,CONGREGATION MACHNA SHALVA
Machna Shalva ,,1462 62nd St,Brooklyn,11219,1462 62nd St,Brooklyn,,332000225453,800000059295,20875,CONGREGATION MACHNA SHALVA
Machna Shalva II ,,1318 43rd St # 20,Brooklyn,11219,4018 15th Ave,Brooklyn,,332000226380,800000059479,20893,CONGREGATION MACHNA SHALVA
Machna Shalva IV ,,1362 49th St,Brooklyn,11219,1362-49 St,Brooklyn,,332000226381,800000059907,20894,CONGREGATION MACHNA  SHALVA
Machna Shalva V ,,5815 20th Ave,Brooklyn,11204,5815 20th Ave ,Brooklyn,,332000226383,800000060597,21984,CONGREGATION MACHNA SHALVA
Machzikei Hadas of Belz ,,P.O. Box 57,Monsey,10977,3 N Cole Ave,Spring Valley,,500402228547,800000039015,,CONG MACHZIKEI HADAS OF BELZ
Magen David Yeshivah Elementary ,,2130 Mcdonald Ave,Brooklyn,11223,2130 Mcdonald Ave,Brooklyn,,332100226924,800000044053,,
Magen David Yeshivah HS ,CELIA,7801 Bay Pkwy,Brooklyn,11214,7801 Bay Pky,Brooklyn,,332100229088,800000044024,21771,MAGEN DAVID YESHIVA
Magen Ephraim Sephardic Academy ,MESA,150 Hicks Ln,Great Neck,11024,150 Hicks Lane,Great Neck,11024,280407226666,800000093019,,MAGEN EPHRAIM SEPHARDIC ACADEMY
Magen Israel - Gan Israel Center ,,175 Community Drive - Northside,Great Neck,11021,175 Community Drive,Great Neck,11023,280406226313,800000089710,75042,Magen Israel -Gan Israel Center
Maimonides Hebrew Day School ,,404 Partridge St,Albany,12208,404 Partridge St,Albany,,10100208496,800000055638,,MAIMONIDES HEBREW DAY SCHOOL
Manhattan Day School ,MDS,310 W 75th St,New York,10023,310 W 75th St,New York,,310300226796,800000047384,3785,MANHATTAN DAY SCHOOL
Manhattan High School For Girls ,MHS,154 E 70th St,New York,10021,154 E 70th St,New York,,310200229438,800000048207,2714,MANHATTAN HIGH SCHOOL FOR GIRLS
Marilyn David IVDU Upper Boys School ,,1760 53rd St,Brooklyn,11230,1760 53rd St,Brooklyn,11230-3520,332000226416,800000090477,20012,IVDU UPPER SCHOOL
Masores Bais Yaakov ,,1395 Ocean Ave,Brooklyn,11230,1395 Ocean Ave,Brooklyn,11230,332200229244,800000043808,22853,MASORES BAIS YAAKOV ELEMENTARY SCHOOL
Masores Bais Yaakov High School ,,1395 Ocean Ave,Brooklyn,11230,1395 Ocean Ave,Brooklyn,,332200225688,800000060937,,Masores Bais Yaakov High School
Mazel Day School FREE ,FREE,60 West End  Ave,Brooklyn,11235,60 West End Ave-4th Fl,Brooklyn,,332100225701,800000061351,21861,MAZEL DAY SCHOOL (F.R.E.E.)
Mercaz Academy ,,25 Country Dr,Plainview,11803,25 Country Dr,Plainview,,280504226647,800000092720,,MERCAZ ACADEMY
Mercaz Hatorah of Belle Harbor ,,505 Beach 129th St,Queens,11694,5-05 Beach 129th,Queens,11694,342700229329,800000042834,27012,MERCAZ HATORAH OF BELLE HARBOR
Merkaz Bnos High School ,,1400 W 6th St,Brooklyn,11204,1400 W 6th St,Brooklyn,,332000229276,800000044246,21792,MERKAZ BNOS HIGH SCHOOL
Merkaz The Center ,,1739 Ocean Ave,Brooklyn,11230,1739 Ocean Ave,Brooklyn,,332200226524,800000092069,22042,MERKAZ - THE CENTER INC.
Mesifta Beth Shraga ,,P.O. Box 412,Monsey,10952,28 Saddle River Rd,Monsey,10952,500402206673,800000039027,,MESIFTA BETH SHRAGA
Mesifta Ohr Hatalmud ,,701 Blooming Grove Tpke,New Windsor,12553,701 Blooming Grove Turpk,New Windsor,,441600229607,800000038995,,CONGREGATION MESIFTA OHR HATALMUD
Mesifta Torah Temimah ,,555 Ocean Pkwy,Brooklyn,11218,555 Ocean Pky,Brooklyn,,332100226500,800000044052,22860,YESHIVA TORAH TEMIMAH
Mesifta Vyoel Moshe ,,5301 14th Ave,Brooklyn,11219,960 49th St,Brooklyn,,332000225437,800000044272,20813,UNITED TALMUDICAL ACADEMY
Mesilas Bais Yaakov ,,420 19th St,Brooklyn,11215,420 19th St,Brooklyn,,331500226123,800000076533,15633,MESILAS  BAIS YAAKOV
Mesivta & Yeshiva Gedolah of Manhattan Beach ,,59 West End Ave,Brooklyn,11235,59 W End Ave,Brooklyn,,332100229679,800000044015,21835,Mesivta & Yesh. Gedolah Of Manhattan Beach
Mesivta Ahavas HaTorah ,,720 Union Rd,Monsey,10977,720 Union Road,Spring Valley,10977,500402226129,800000076793,,MESIVTA AHAVAS HATORAH
Mesivta Ateres Yaakov of Greater Long Island ,,131 Washington Ave,Lawrence,11559,131 Washington Ave,Lawrence,,280215226038,800000049514,,MESIVTA ATERES YAAKOV-GR LONG ISLAND
Mesivta Bais Aaron Tzvi Veretzky ,,1249 E 18th St,Brooklyn,11230,1102 Ave L,Brooklyn,11230,332100229120,800000044041,21688,CONGREGATION OHR SHRAGA D'VERETZKY
Mesivta Beis Halevi ,,22 Horton Dr,Monsey,10952,4 N Main St,Spring Valley,10977,500402226683,800000093032,,
Mesivta Eitz Chaim ,,P.O. Box 453,Brooklyn,11219,1577 48th St,Fallsburg,,590501226769,800000093688,,
Mesivta Kesser Yisroel of Willowbrook ,,278 Harold St,Staten Island,10314,240 Woodward Ave,Staten Island,,353100225463,800000059319,,Mesivta Kesser Yisroel of Willowbrook
Mesivta Lev Temimim Lubavitch ,,17 Blueberry Hill Rd,Monsey,10952,50 Mountain Ave,Monsey,,500402226798,800000093785,,MESIVTA OF MONSEY
Mesivta Maamar Mordechai ,,113 Maple Ave,Monsey,10977,113 Maple Ave,Spring Valley,,500402225056,800000058238,,MESIVTA MAAMAR MORDECHAI
Mesivta Meor Yitzchok Inc. ,,P.O. Box 942,Monsey,10952,65 Dykstras Way E,Monsey,,500402226784,800000093714,,MEOR YITZCHOK
Mesivta Nesivos Hatalmud ,,1228 36th St,Brooklyn,11218,1228 36th St,Brooklyn,,332200226549,800000092298,15856,MESIVTA NESIVOS  HATALMUD
Mesivta Netzach Hatorah ,,111 Irving Place,Woodmere,11598,650 Broadway,Cedarhurst,,280215226491,800000091505,75049,Mesivta Netzach Hatorah
Mesivta of Yeshiva D'monsey ,,14 Roman Blvd,Monsey,10952,14 Roman Blvd,Monsey,10952,500402226134,800000077418,,
Mesivta Orchos Yosher ,,681 Chestnut Ridge Rd,Chestnut Ridge,10977,681 Chestnut Ridge Rd,Chestnut Ridge,10977,500402226779,800000093698,,
Mesivta Shaarei Chaim ,,716 Beach 9th St,Queens,11691,716 Beach 9th St,Queens,,342700226097,800000074413,,Mesivta Shaarei Chaim
Mesivta Shaarei Pruzdor ,MSPLB,1000 Rosedale Rd,Valley Stream,11581,410 Hungry Harbor Rd,Valley Stream,,280214226338,800000090330,,MESIVTA SHAAREI PRUZDOR
Mesivta Sholom Schachna ,,129 Elmwood Ave,Brooklyn,11230,401 Elmwood Ave,Brooklyn,,332000225438,800000059290,,Mesivta Sholom Schachna
Mesivta Tiferes Mordechi ,,50 Mountain Ave,Monsey,10952,50 Mountain Ave,Monsey,10952,500402226723,800000093351,,
Mesivta Toras Moshe ,,1110 Beach 9th St,West Hempstead,11552,1 Cedar Lawn Ave,Queens,11691,280215226474,800000091362,,MESIVTA TORAS MOSHE
Mesivta Veretzky ,,1102 Ave L,Brooklyn,11230,1249 East Ave 18 St,Brooklyn,,332100226336,800000056148,21874,BAIS ARON TZVI VERETZKY
Mesivta Yeshiva Rabbi Chaim Berlin ,,1585 Coney Island Ave,Brooklyn,11230,1585 Coney Island Avenue,Brooklyn,11230,332100206993,800000055832,21887,MESIVTA HIGH SCHOOL
Mesivta Yesodei Yeshurun ,,141-51 71st Ave,Queens,11367,141-51 71 Ave,Queens,11367,342800229507,800000042652,25742,MESIVTA YESODEI YESHURUN
Mesivtah Meor Hatorah ,,1069 38th St,Brooklyn,11219,1069 38th St,Brooklyn,,332200226139,800000077805,,
Mesivtah Meor Hatorah ,,1069 38th St,Brooklyn,11219,300 Mcdonald Ave,Brooklyn,,332000226515,800000091917,,
Mesivtha Tifereth Jerusalem ,MTJ,145 E Brdway,New York,10002,145 E Broadway,New York,,310200226798,800000048229,2737,MESIVTA TIFERETH JERUSALEM
Mesorahs Miriam ,,900 Rte 45,New City,10956,900 Rte 45,New City,10956,500402226768,800000093566,,
Mevakshai Torah ,,841 Ocean Pkwy,Brooklyn,11230,841 Ocean Parkway,Brooklyn,11230,332200226299,800000089601,22008,YESHIVAS MEVAKSHAI TORAH
Midrash L'Man Achai High School ,,1244 Bay Park Place,Queens,11691,9730 Queens Blvd,Queens,,342800225720,800000042655,28751,MIDRASH L'MAN ACHAI HIGH SCHOOL
Mill Basin Yeshiva Academy ,MBYA,6363 Ave U,Brooklyn,11234,6363 Avenue U,Brooklyn,11234,332200226487,800000043838,22664,TALMUD TORAH OF CROWN HEIGHTS YESHIVA
Mirrer Yeshiva ,,1791 Ocean Pkwy,Brooklyn,11223,1791 Ocean Parkway,Brooklyn,11223,332200228238,800000043841,21725,MIRRER YESHIVA EDUCATIONAL INSTITUTE
Mirrer Yeshiva High School ,,1791 Ocean Pkwy,Brooklyn,11223,1795 Ocean Pky,Brooklyn,11223,332200226926,800000043857,21837,MIRRER YESHIVA HIGH SCHOOL
Monsey Beis Chaya Mushka ,,27 S Monsey Rd,Monsey,10952,25-27 S Monsey Rd,Monsey,,500402225708,800000061448,,MONSEY BEIS CHAYA MUSHKA-HIGH SCHOOL
Mosdos Chasidei Square - Boro Park ,,1373 43rd St,Brooklyn,11219,1373 43rd St,Brooklyn,,332000228244,800000044282,20800,MOSDOS SQUARE
Mosdos Chasidei Square ,,105 Heyward St,Brooklyn,11206,105 Heyward St,Brooklyn,,331400227886,800000045238,14712,MOSDOS CHASIDEI SQUARE
Mosdos Koloshits ,,P.O. Box 113,Monsey,10952,99 Highview Rd,Suffern,10901,500401226792,800000093761,,
Mosdos Sanz Klausenberg of Monsey - Site 2 ,,P.O. Box 242,Monsey,10977,8 Eckerson Ln,Spring Valley,,500402226298,800000082223,,MOSDOS SANZ KLAUSENBURG OF MONSEY 
Mosdos Sanz Klausenburg of Monsey ,,P.O. Box 242,Tallman,10982,5 Gibbs Ct,Monsey,10952,500402229806,800000038975,,
Mosdos Sanz Klausenburg-monsey ,,P.O. Box 242,Tallman,10982,86 Highview Rd,Suffern,10901,500401226726,800000093349,,
Mosdos Sanz of Monsey ,,50 Slinn Ave,Spring Valley,10977,50 Slinn Ave,Spring Valley,10977,500402226156,800000083503,,
Mosdos Satmar BP ,,507 Ocean Pkwy,Brooklyn,11218,507 Ocean Pkwy,Brooklyn,,332000226126,800000076754,20843,MOSDOS SATMAR
Mosdos Satmar BP Girls Elementary ,,4109 16th Ave,Brooklyn,11204,6202 14th Ave,Brooklyn,,332000226457,800000091339,20854,
Mosdos Satmar BP School for Girls ,,4615  14th Avenue,Brooklyn,11219,4421 15th Ave,Brooklyn,11219-2610,332000226385,800000085243,20843,MOSDOS SATMAR BP SCHOOL FOR GIRLS
Mosdos Satmar of Bloomingburg ,,P.O. Box 176,Bloomingburg,12721,14 Yd Goldberger Ln,Bloomingburg,12721,440401226287,800000089461,,
Mosdos Satmar of Bloomingburg ,,P.O. Box 176,Bloomingburg,12721,36 Yd Goldberger Ln,Bloomingburg,12721,440401226688,800000093038,,
Mosdos Satmar of Bloomingburg ,,P.O. Box 176,Bloomingburg,12721,78 Yd Goldberger Ln,Bloomingburg,12721,440401226760,800000093557,,
Nefesh Academy ,,2005 E 17th St,Brooklyn,11229,2005 E 17th St,Brooklyn,,332200229577,800000043814,22787,NEFESH ACADEMY
Neshomah ,,107 Seven Springs Rd-#101,Monroe,10950,107 Seven Springs Rd-#101,Monroe,10950,441201226324,800000089938,,
Nesivos Bais Yaakov ,,1021 45th St,Staten Island,11218,622 Foster Ave,Brooklyn,,332200225005,800000057939,22013,NESIVOS BAIS YAAKOV
NESIVOS BAIS YAAKOV II ,,1334 Ocean Pkwy,Brooklyn,11230,1334 Ocean Pkwy,Brooklyn,,332100226424,800000059929,21020,NESIVOS BAIS YAAKOV II
North Shore Hebrew Academy Elementary School ,NSHA,16 Cherry Ln,Great Neck,11024,16 Cherry Ln,Great Neck,11024-1146,280407226636,800000049040,,NORTH SHORE HEBREW ACADEMY
North Shore Hebrew Academy High School ,NSHA,400 N Service Rd,Great Neck,11020,400 N Service Rd,Great Neck,,280407229810,800000049046,,NORTH SHORE HEBREW ACAD HIGH SCH
North Shore Hebrew Academy Middle School ,NSHA,26 Old Mill Rd,Great Neck,11023,26 Old Mill Rd,Great Neck,,280407226438,800000090729,,NORTH SHORE HEBREW ACADEMY MS
Ohel Elozer ,,263 Classon Ave Apt 4B,Brooklyn,11205,263 Classon Ave Apt 4B,Brooklyn,,331400225670,800000058150,,Ohel Elozer
Oholei Menachem of Rockland ,,3 Basswood Dr,Lakewood,08701,4 North Main St,Spring Valley,10977,500402226783,800000093703,,
Ohr Chadash of Monsey ,,136 Conklin Rd,Pomona,10970,136 Conklin Rd,Pomona,10970,500402226425,800000090563,,
Ohr Hatorah Monsey ,,23 Robert Pitt Dr,Monsey,10952,681 Chestnut Ridge Rd,Chestnut Ridge,10977,500402226662,800000093042,,
Ohr Menachem ,,1729 President St,Brooklyn,11213,1729 President St,Brooklyn,,331700225617,800000060462,28797,YESHIVA GEDOLA LUBAVITCH
Ohr Menachem II ,,1717 President St,Brooklyn,11213,1717 President St,Brooklyn,,331700226450,800000061216,,Congregation Ohr Menachem
Ohr Shlomo Yeshiva High School ,,1049 E 15th St,Brooklyn,11230,1049 East 15th St,Brooklyn,,332100226774,800000093693,21066,
Ohr Temimim ,,411 John James Audubon Pkwy,Amherst,14228,411 John James Audubon Pkwy,Amherst,,140203229522,800000053038,,JEWISH HERITAGE DAY SCHOOL
Ohr V'Daas RISE ,,972 Chestnut Ridge Rd,Monsey,10977,972 Chestnut Ridge Rd,Spring Valley,,500402229315,800000038999,,ROCKLAND INST FOR SPEC EDUC
Ohr Yeshua ,,230 Viola Rd,Monsey,10952,230 Viola Rd,Monsey,10952,500402226819,800000093887,,
Ohr Yosef of Rockland County ,,8 Chelsea Lane,Spring Valley,10977,681 Chestnut Ridge Rd,Spring Valley,10977,500402226350,800000090332,,OHR YOSEF OF ROCKLAND COUNTY
Olam Hatora ,,230 Maple Ave,Monsey,10952,230 Maple Ave,Monsey,10952,500402226728,800000093347,,
Ora Academy ,,139 Winton Rd South,Rochester,14610,139 Winton Road South,Rochester,14610,261600229557,800000050548,,ORA ACADEMY
Pathway Study Center Inc ,,1305 Coney Island Ave,Brooklyn,11230,1305 Coney Island Ave,Brooklyn,,332100226160,800000083584,21001,PATHWAY STUDY CENTER
Pe'er Bais Yaakov ,,133 Route 59,Monsey,10952,607 Rt 306,Suffern,,500402226293,800000089597,,CONGREGATION PE'ER BAIS YAAKOV
Peer Hatorah ,,1997 E 7th St,Brooklyn,11223,1997 E 7th St,Brooklyn,11223,332100226748,800000093520,,
Pp Monsey Inc ,,2 Skyline Dr,Thiells,10984,235 N Main St,Spring Valley,10977,500402226770,800000093689,,
Prospect Park Bnos Leah High School ,,1601 Ave R,Brooklyn,11229,1601 Avenue R,Brooklyn,11229,332200226488,800000043839,22740,PROSPECT PARK BNOS LEAH HIGH SCHOOL
Prospect Park Bnos Leah Yeshiva ,,1784 E 17th St,Brooklyn,11229,1784 East 17th St ,Brooklyn,,332200227462,800000043833,22725,PROSPECT PARK YESHIVA
Queens Cheder MRM ,,173-53 Croydon Rd,Queens,11432,173-53 Croydon Rd,Queens,,342900226735,800000093425,29074,QUEENS CHEDER MRM
Queens Hebrew Academy ,SSDS,76-16 Parsons Blvd,Queens,11366,76-16 Parsons Boulevard,Queens,11366,342500217123,800000043147,25720,SOLOMON SCHECHTER SCHOOL OF QUEENS
Rabbi Arthur Schneier Park East Day School ,,164 E 68th St,New York,10065,164 E 68th St,New York,10065,310200228218,800000048231,2666,RABBI ARTHUR SCHNEIER PK EA DA
Rabbi Jacob Joseph School for Girls ,RJJ,400 Caswell Ave,Staten Island,10314,6101 16th Ave,Brooklyn,10314,353100229000,800000041881,31739,RABBI JACOB JOSEPH FOR GIRLS
Rabbinical Seminary of America High School ,,7601 147th St,Queens,11367,76-01 147th St,Queens,,342500226479,800000042666,25818,MESIVTA CHOFETZ CHAIM
Ramapo Cheder ,,681 Chestnut Ridge Rd,Spring Valley,10977,681 Chestnut Ridge Rd,Spring Valley,10977,500402226656,800000092839,,
Ramapo Cheder ,,334 Spook Rock Rd,Suffern,10901,334 Spook Rock Rd,Suffern,10901,500401226455,800000091346,,
Ramaz Lower School ,,125 E 85th St,New York,10028,125 E 85th St,New York,,310200228605,800000048205,2751,RAMAZ LOWER SCHOOL
Ramaz Middle School ,,114 E 85th St,New York,10028,114 E 85th St,New York,,310200229740,800000048208,2871,RAMAZ MIDDLE SCHOOL
Ramaz Upper School ,,60 E 78th St,New York,10075,60 E 78th St,New York,,310200227467,800000048230,2764,RAMAZ UPPER SCHOOL
Rambam Mesivta ,,284 Mott Ave,Lawrence,11559,284 Mott Ave,Lawrence,,280215229372,800000049472,75850,RAMBAM MESIVTA-MAIMONIDES HIGH SCHOOL
Rodeph Sholom Day School ,,168 W 79th St,New York,10024,10 W 84th St,New York,,310300227929,800000047361,3751,RODEPH SHOLOM ELEMENTARY DIVISION
Salanter Akiba Riverdale Academy ,,89 Bon Air Ave,Brooklyn,10804,1326 Ocean Parkway,Brooklyn,,321000226424,800000046107,10716,SALANTER AKIBA RIVERDALE ACADEMY
SAR High School ,,503 W 259th St,Bronx,10471,503 W 259th St,Riverdale,,321000229954,800000056642,10686,SAR HIGH SCHOOL
Sara Marie School ,,942 Route 146,Clifton Park,12065,942 Route 146,Clifton Park,12065,520302996103,800000075114,,
Schechter School of Long Island - Upper ,,6 Cross St,Williston Park,11596,6 Cross St,Williston Park,,280410219458,800000049896,,SOLOMON SCHECHTER ELEMENTARY-MIDDLE
Sha'arei Zion Ohel Bracha Girls ,,75-24 Grand Central Pkwy,Queens,11375,75-24 Grand Central Pkwy,Queens,,342800229850,800000042642,28664,TIFERET TZION
Shaarei Arazim of Monsey ,,50 Bridle Road,Spring Valley,10977,201 Rte 306,Spring Valley,10977,500402229816,800000034242,,SHAAREI ARAZIM OF MONSEY
Shaarei Torah of Rockland ,,91 Carlton Rd W,Monsey,10901,91 W Carlton Rd,Suffern,,500402207407,800000039028,,SHAAREI TORAH OF ROCKLAND
Shalsheles Bais Yaakov ,,4001 16th Ave,Brooklyn,11218,4001 16th Ave,Brooklyn,,332000229340,800000044240,20001,SHALSHELES HIGH SCHOOL
Shema Kolainu-Hear Our Voices ,,4302 New Utrecht Ave,Brooklyn,11219,4302 New Utrecht Ave,Brooklyn,,331500229762,800000044210,15879,Shema Kolainu - Hear Our Voices
Sheri Torah - 5 Yd ,,5 Yd Goldberger Dr,Monroe,10950,5 Yd Goldberger Dr,Monroe,10950,441201226759,800000093556,,
Sheri Torah - Bb ,,P.O. Box 2027,Monroe,10949,27 Chevron Rd,Monroe,10950,441201226555,800000092303,,
Sheri Torah - Bg ,,P.O. Box 2027,Monroe,10949,58 Fort Worth Pl,Blooming Grove,10914,441201226681,800000093045,,
Sheri Torah Forest ,,509 Forest St,Monroe,10950,509 Forest St,Monroe,10950,441201226467,800000091331,,
