Name,Acronym,Billing Street,Billing City,Billing Zip Code,Shipping Street,Shipping City,Shipping Zip Code,BEDS,ORISS Institution ID,NIPSIS,DOE Name
Bais Trany of Monsey ,,P.O. Box 870,Monsey,10977,185 N Main St,Monsey,,500402225496,800000059467,,BAIS TRANY OF MONSEY
Bais Tziporah Elementary ,,1449 39th St,Brooklyn,11218,1449 39th St,Brooklyn,,332000228436,800000044285,20656,BAIS TZIPORAH
Bais Tziporah High School ,,1410 39th St,Brooklyn,11218,1410 39th St,Brooklyn,,332000226435,800000090694,,Bais Tziporah High School
Bais Yaakov Academy ,,1213 Elm Ave,Brooklyn,11230,1213 Elm Avenue,Brooklyn,11230,332100227824,800000044050,21760,BAIS YAAKOV ACADEMY
Bais Yaakov Ateres Miriam ,BYAM,1214 Heyson Rd,Queens,11691,1214 Heyson Road,Queens,11691,342700226221,800000087003,27001,BAIS YAAKOV ATERES
Bais Yaakov Ateres Miriam HS ,,111 Irving Pl,Woodmere,11598,111 Irving Pl,Woodmere,11598,280214226813,800000093831,,
Bais Yaakov Chofetz Chaim of Pomona ,,P.O. Box 704,Pomona,10970,44 Camp Hill Rd,Pomona,,500402229084,800000039020,,BAIS YAAKOV CHOFETZ CHAIM-POMONA
Bais Yaakov D'Chassidei Gur ,,1975 51st St,Brooklyn,11204,1975 51st St,Brooklyn,,332000228651,800000044289,21707,BAIS YAAKOV D'CHASSIDEI GUR
Bais Yaakov D'Gur High School ,,1975 51st St,Brooklyn,11204,1975 51st St,Brooklyn,,332000228915,800000044274,21003,BAIS YAAKOV D'GUR HIGH SCHOOL
Bais Yaakov D'Khal Adas Yereim High School ,,505 Bedford Ave,Brooklyn,11211,505 Bedford Ave,Brooklyn,,331400207091,800000045269,14665,YESHIVA JESODA HATORA #2
Bais Yaakov D'Rav Meir H.S. ,BYDRM,85 Parkville Ave,Brooklyn,11230,85 Parkville Ave,Brooklyn,,332000226893,800000044319,20835,BETH JACOB DAY SCHOOL
Bais Yaakov Elem School of Rockland ,,14 Horton Dr,Monsey,10952,681 Chestnut Ridge Rd,Spring Valley,10977,500402226104,800000075113,,
Bais Yaakov Faigeh Schonberger of Adas Yereim ,,1169 43rd St,Brooklyn,11219,1169 43rd St,Brooklyn,,331500229003,800000043817,15761,BAIS YAKOV ADAS YEREIM HIGH SCHOOL
Bais Yaakov High School of Spring Valley ,,11 Smolley Dr,Monsey,10952,11 Smolley Dr,Monsey,,500402227568,800000039040,,BAIS YAAKOV HS OF SPRING VALLEY
Bais Yaakov of 18th Avenue ,,4419 18th Ave,Brooklyn,11204,4419 18th Avenue,Brooklyn,11204,332000228679,800000044276,20728,BAIS YAAKOV OF 18TH AVENUE
Bais Yaakov of Bensohurst ,,1401 39 St,Brooklyn,11228,3901 14th Ave,Brooklyn,,332000226229,800000087724,20712,YESHIVA KETANA OF BENSONHURST
Bais Yaakov of Pomona ,,83 Highview Rd,Suffern,10901,83 Highview Rd,Suffern,10901,500401226667,800000093044,,
